word,image,description
question,💬,"Answering Questions (in Issues, Stack Overflow, Gitter, Slack, etc.)"
bug,🐛,"Bug reports"
blog,📝,"Blogposts"
bizdev,💼,"Business Development"
code,💻,"Code"
design,🎨,"Design"
doc,📖,"Documentation"
eventOrganizing,📋,"Event Organizing"
example,💡,"Examples"
financial,💵,"Financial Support"
fundingFinding,🔍,"Funding/Grant Finders"
ideas,🤔,"Ideas & Planning"
infra,🚇,"Infrastructure (Hosting,Build-Tools,etc)"
platform,📦,"Packaging/porting to support a new platform"
plugin,🔌,"Plugin/utility libraries"
review,👀,"Reviewed Pull Requests"
talk,📢,"Talks"
test,⚠️,"Tests"
tool,🔧,"Tools"
translation,🌍,"Translation"
tutorial,✅,"Tutorials"
security,🔐,"Security"
video,📹,"Videos"
